ID	可愛い	カジュアル	ポップ	クール	エレガント	幻想・神秘的	モダン	ナチュラル	シンプル	和風	筆文字	中華風	アジアン	アメリカン	ヨーロピアン	メタリック	フルカラー	動物	魚介類	植物系	イラスト	スポーツ	ダンス	エンブレム	音楽
95	3	2	3	0	0	0	0	1	0	0	0	0	1	1	1	0	3	0	0	0	5	0	0	0	0
96	0	2	3	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0
97	1	2	2	1	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	5	1	0	0	0
98	0	1	0	4	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	4	1	0	0
99	0	1	2	0	0	0	0	2	2	0	0	0	1	1	1	0	0	0	0	0	0	2	0	4	0
100	2	1	1	2	0	2	0	0	3	0	0	0	0	0	0	0	2	3	0	0	1	0	0	0	0
101	2	0	1	2	0	2	0	0	3	0	0	0	1	0	0	0	2	3	0	0	1	0	0	0	0
102	0	0	0	2	0	0	1	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0
103	0	0	0	5	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	1	1	0
104	0	0	1	4	0	0	1	0	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0
105	0	0	3	1	1	1	0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0
106	0	0	1	3	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	4	1	0	0
107	3	1	3	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	5	0	0	0	0
108	0	1	0	3	0	0	0	0	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
109	0	1	0	2	0	0	1	0	4	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
110	0	0	4	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	4	0	3	0
111	0	0	2	4	0	0	4	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
112	0	1	0	0	0	0	1	1	0	5	3	0	2	0	0	0	0	0	0	2	1	0	0	0	0
113	0	1	2	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	1	4	1	0	0
114	0	1	2	1	1	2	0	1	1	1	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0
115	0	1	3	2	0	0	0	0	3	0	0	0	1	1	1	0	0	0	0	0	1	1	0	3	0
116	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	5	0	0	0
117	0	1	2	2	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	3	4	0	0	0
118	0	0	1	3	0	0	2	0	2	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4
119	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	3	3	0	0	5	0	0	0	0
120	0	0	4	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
121	4	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	2	0	0	0
122	0	2	4	1	0	0	3	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0
123	0	0	3	3	0	0	1	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
124	0	2	2	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
125	0	0	2	1	0	0	0	1	4	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
126	0	2	2	3	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	2	0
127	0	0	1	1	0	0	2	0	4	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0
128	1	0	0	0	5	1	1	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0
129	0	0	1	3	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
130	0	0	3	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
131	0	0	3	1	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
132	0	0	1	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
133	0	0	3	0	0	0	2	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
134	1	0	3	1	0	0	1	0	2	0	0	0	1	1	0	0	0	4	0	0	2	0	0	2	0
135	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
136	0	0	0	2	3	0	1	1	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0
137	3	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	3	0	0	0	0
138	1	0	2	0	3	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0
139	0	0	1	1	0	0	2	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0
140	2	0	3	0	3	2	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0
141	0	1	1	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	1	0
142	0	0	1	2	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
143	2	1	2	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0
144	0	1	2	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
145	0	0	1	2	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0
146	2	1	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	0	3	0	0	0	0
147	0	0	0	0	2	4	0	0	3	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0
148	0	0	2	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
149	0	0	3	2	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
150	0	0	0	1	4	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
151	0	0	0	0	4	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
152	0	0	3	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
153	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1
154	0	0	2	2	0	0	2	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
155	0	0	1	0	4	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0
156	0	0	0	3	1	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0
157	0	0	3	0	0	0	2	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
158	0	0	0	3	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
159	0	0	2	1	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0
160	0	0	3	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	1	0
161	0	1	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0
162	0	0	0	4	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0
163	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	4	0
164	0	1	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	1	1
165	0	0	1	1	0	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0
166	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0
167	0	1	2	0	0	0	0	1	1	0	0	0	1	1	0	0	3	0	0	0	2	0	0	1	0
168	0	1	1	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0
169	0	0	0	0	0	2	2	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
170	2	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	0	4	0	0	0	0
171	0	1	0	3	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	2	0
172	0	1	2	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0
173	3	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	0	0	0
174	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
175	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	4	0
176	0	0	3	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0
177	0	0	1	4	0	0	0	0	0	2	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0
178	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	3	0	0	0	0
179	2	1	3	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0
180	0	0	2	0	1	2	1	0	0	0	0	0	0	1	1	0	3	0	0	2	1	0	0	0	0
181	0	0	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	4	0	1	0
182	0	1	3	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0
183	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	4	0	0	0
184	0	0	1	2	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
185	0	1	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0
186	1	0	4	0	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0
187	0	0	3	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
188	2	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	3	0	0	0	0
189	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0
190	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	1	1	0	0	0
191	0	0	0	4	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3	0
192	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	4	0	0	0	2
193	3	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	1	4	0	0	0	0
194	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	1	2	3	0	2	1	0	1	0
195	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	3	0	0	4	0	0	0	0
196	0	0	0	4	0	0	0	0	1	0	0	0	1	2	1	0	0	3	0	0	1	0	0	2	0
197	0	0	0	1	0	0	1	0	1	3	3	0	1	1	0	0	0	0	0	0	0	4	1	0	0
198	0	1	1	2	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0
199	0	0	0	3	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
200	0	0	0	0	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
201	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
202	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0
203	0	1	1	1	0	0	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
204	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0
205	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3
206	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
207	0	1	1	2	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0
208	0	1	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	1	0
209	0	0	2	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
210	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	3	0
211	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
212	3	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0
213	3	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3
214	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0
215	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	4	0	0	2	2	0	0	0
216	0	1	0	1	0	0	3	1	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
217	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0
218	0	0	3	1	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
219	0	0	0	3	2	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
220	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0
221	0	0	2	0	0	0	0	1	0	4	3	0	1	0	0	0	0	0	0	2	2	0	0	0	0
222	1	0	0	1	3	0	0	0	0	2	1	1	1	0	0	0	0	0	0	3	1	0	0	0	0
223	0	1	3	0	0	0	0	1	0	1	2	0	1	0	0	0	0	2	2	0	1	0	0	0	0
224	0	0	2	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0
225	0	1	2	3	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0
226	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1	2	4	0	0	2	0	0	0	2
227	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	3	4	1	0	3	0	0	0	1
228	0	0	1	4	0	1	2	0	0	0	0	0	1	0	0	0	0	2	3	0	1	0	0	1	0
229	0	2	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
230	0	0	0	3	0	0	3	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
231	1	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	4	0	0	3	0	0	0	0
232	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0
233	0	0	1	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
234	0	0	1	0	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0
235	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	0	0	0
236	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0
237	0	1	3	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	2	0	3	0
238	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
239	0	0	1	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0
240	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
241	0	2	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0
242	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0
243	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
244	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
245	0	0	0	3	1	0	0	0	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
246	0	1	3	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
247	0	0	1	2	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0
248	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	4	3	0	0	0
249	0	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
250	0	0	2	2	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
251	0	0	1	0	0	0	2	1	1	1	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0
252	0	2	3	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0
253	0	1	4	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0
254	0	0	0	4	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
255	2	0	4	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0
256	0	0	0	1	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0
257	0	1	2	1	0	0	2	0	1	4	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0
258	0	0	1	0	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0
259	2	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
260	0	1	0	1	0	0	0	2	1	2	3	0	0	0	0	0	0	0	0	4	2	0	0	0	0
261	0	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0
262	0	1	0	2	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
263	0	3	1	2	0	0	3	0	1	0	0	0	1	1	1	0	0	0	0	0	2	2	0	0	0
264	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	4	0	2	0	0	1	0
